season,week,team,arm,team_game,actual_team_targets,pred_team_targets,budget_error,budget_crps
2022,4,SEA,BASELINE,2022-4-SEA,29,30.8889,1.8889,2.16059
2022,4,SEA,Q8_BUDGET_SHRINK,2022-4-SEA,29,31.8172,2.8172,2.29984
2022,4,SF,BASELINE,2022-4-SF,25,31.3889,6.3889,3.88922
2022,4,SF,Q8_BUDGET_SHRINK,2022-4-SF,25,32.1443,7.1443,4.42388
2022,4,TB,BASELINE,2022-4-TB,52,33.4915,-18.5085,14.13129
2022,4,TB,Q8_BUDGET_SHRINK,2022-4-TB,52,33.52,-18.48,14.12769
2022,4,TEN,BASELINE,2022-4-TEN,21,29.7222,8.7222,5.40827
2022,4,TEN,Q8_BUDGET_SHRINK,2022-4-TEN,21,31.0538,10.0538,6.56639
2022,4,WAS,BASELINE,2022-4-WAS,40,34.2778,-5.7222,3.96591
2022,4,WAS,Q8_BUDGET_SHRINK,2022-4-WAS,40,34.0344,-5.9656,4.04834
2022,5,ARI,BASELINE,2022-5-ARI,38,34.7027,-3.2973,2.50183
2022,5,ARI,Q8_BUDGET_SHRINK,2022-5-ARI,38,34.3125,-3.6875,2.67178
2022,5,ATL,BASELINE,2022-5-ATL,22,30.8571,8.8571,5.44821
2022,5,ATL,Q8_BUDGET_SHRINK,2022-5-ATL,22,31.7964,9.7964,6.13921
2022,5,BAL,BASELINE,2022-5-BAL,27,29.6216,2.6216,2.05414
2022,5,BAL,Q8_BUDGET_SHRINK,2022-5-BAL,27,30.988,3.988,2.33163
2022,5,BUF,BASELINE,2022-5-BUF,36,36.6486,0.6486,2.05979
2022,5,BUF,Q8_BUDGET_SHRINK,2022-5-BUF,36,35.5856,-0.4144,1.93364
2022,5,CAR,BASELINE,2022-5-CAR,40,32.8378,-7.1622,3.93073
2022,5,CAR,Q8_BUDGET_SHRINK,2022-5-CAR,40,33.0923,-6.9077,3.72218
2022,5,CHI,BASELINE,2022-5-CHI,21,33.4915,12.4915,8.61533
2022,5,CHI,Q8_BUDGET_SHRINK,2022-5-CHI,21,33.52,12.52,8.62968
2022,5,CIN,BASELINE,2022-5-CIN,34,34.0811,0.0811,1.81741
2022,5,CIN,Q8_BUDGET_SHRINK,2022-5-CIN,34,33.9057,-0.0943,1.82971
2022,5,CLE,BASELINE,2022-5-CLE,32,29.4324,-2.5676,2.36771
2022,5,CLE,Q8_BUDGET_SHRINK,2022-5-CLE,32,30.8642,-1.1358,2.04813
2022,5,DAL,BASELINE,2022-5-DAL,16,37.3243,21.3243,16.60232
2022,5,DAL,Q8_BUDGET_SHRINK,2022-5-DAL,16,36.0277,20.0277,15.42273
2022,5,DEN,BASELINE,2022-5-DEN,38,33.4915,-4.5085,2.60115
2022,5,DEN,Q8_BUDGET_SHRINK,2022-5-DEN,38,33.52,-4.48,2.59682
2022,5,DET,BASELINE,2022-5-DET,31,33.9048,2.9048,2.2047
2022,5,DET,Q8_BUDGET_SHRINK,2022-5-DET,31,33.7904,2.7904,2.17354
2022,5,GB,BASELINE,2022-5-GB,39,32.3514,-6.6486,3.90481
2022,5,GB,Q8_BUDGET_SHRINK,2022-5-GB,39,32.774,-6.226,3.73694
2022,5,HOU,BASELINE,2022-5-HOU,24,33.4915,9.4915,5.55424
2022,5,HOU,Q8_BUDGET_SHRINK,2022-5-HOU,24,33.52,9.52,5.60962
2022,5,IND,BASELINE,2022-5-IND,36,32.0811,-3.9189,2.70351
2022,5,IND,Q8_BUDGET_SHRINK,2022-5-IND,36,32.5972,-3.4028,2.6286
